post_id,title,z3_verdict,ground_truth_label
ymk63b,AITA for having a strict “no last minute flaking” policy for when it comes to first dates?,YTA,YTA
yggqug,WIBTA for insisting that my wife pay for plane tickets out of her own money?,YTA,NAH
ytssto,AITA for buying my wife a watch in a color she doesn’t like?,ESH,NAH
yppwkt,AITA for making my friends sister cry?,YTA,NTA
yuledj,AITA for refusing to help my brother plan my dad’s funeral because neither of them came to visit me in prison?,YTA,YTA
yw727z,AITA for telling my coworker no?,YTA,NTA
yxaqdr,AITA for not saying anything when my cousin said I took my sister’s leftovers when I married my husband?,YTA,YTA
yohj6t,AITA for not buying my wife a burger?,YTA,YTA
yqkdyn,AITA for telling my ex I have no interest in being a father to our child?,YTA,YTA
ypt65e,AITA For Not Accomodating My Spouse's Diet?,YTA,NTA
ytmc99,AITA for telling my neighbour i will expect them to pick up my dogs mess?,YTA,YTA
yxrq30,AITA for refusing to leave the room when my husband told me to?,YTA,NTA
yqsgtc,AITA for not donating to a friend’s GoFundMe for their premature baby’s NICU stay?,YTA,YTA
yn5br1,AITA for keeping the same financial agreement with my wife?,YTA,YTA
yxegtm,AITA for not wanting to hold or touch my girlfriend’s sister’s baby?,YTA,NTA
ysr5dm,AITA for reorganising my library while pregnant and telling my in-laws my husband wouldn’t help me?,YTA,YTA
yt9zvh,AITA for backing my fiancee in not inviting my dad's affair partner to the wedding even though this situation is embarrassing my mom?,YTA,YTA
yvdhvr,AITA for being nude in front of friends,YTA,YTA
yry7k7,AITA for drinking boba in front of my pregnant sister when it makes her gag?,YTA,NAH
yhjx76,"AITA for ""overruling"" my sister by approving my nephew's outfit for my wedding?",YTA,YTA
yjr6x0,AITA for not wanting to split 50/50,YTA,NAH
yxcped,AITA for telling my wife that her investing losses are not my problem?,YTA,YTA
ysko69,AITA for telling my parents I won’t go to thanksgiving if my sister attends?,YTA,NTA
ymrcwz,AITA for complaining about an old lady that took my seat so I wouldn't have a row to myself on a 7 hour flight?,YTA,NTA
ysoq7f,AITA for telling my ex husband's son that my daughter is not his sister?,YTA,NTA
ysxxdc,AITA for telling my husband to get over himself?,ESH,YTA
yopmla,AITA For refusing to change my workout routine to appease my husband,YTA,NAH
yiopjh,AITA for beating my coworker's kid at super smash bros.,YTA,NAH
yk352f,WIBTA if I don't attend my brother's fiancee's funeral because my husband isn't coming?,YTA,YTA
yl0u92,AITA for canceling on my girlfriend to be with my ex,YTA,YTA
ygmrq8,AITA? My roommate called me a leech.,YTA,NTA
yt3u13,AITA for telling my daughter I don’t want her half sibling sleeping over my house?,YTA,ESH
ywuxl1,AITA for peeing in my BF car ?,NAH,NTA
yguunb,AITA for giving my husband the green light to accept his mom's lavish gifts when she gives our children shitty ones?,YTA,NTA
yg22bk,AITA for calling my dad a creepy pervert for making comments about how my running clothes are too revealing?,YTA,ESH
ynnson,AITA For changing my hair color before a wedding?,ESH,NTA
yh0pz8,AITA for being pissed off our dog sitter spent the entire weekend sleeping in my bedroom while my family & I were out town?,ESH,NAH
yk4qxu,AITA for using a “Moe Syzlak” joke about my brother during parents 40th anniversary party? It turned about to true but I had no idea he has really done what joke was about.,YTA,YTA
yw1ym0,AITA Because I'm going to a concert without my wife?,ESH,NTA
yi9ih5,AITA for making my ex a birthday cake even though his girlfriend told me she had already ordered one?,YTA,NTA
yr1drw,"AITA for suggesting an ""upstage the bride"" theme for our wedding to my fiancée?",ESH,YTA
yowsro,AITA for making my 16 year old daughter get a job,ESH,YTA
yn1amo,AITA for banning my deceased wife's parents from her funeral?,YTA,NTA
ytdhml,AITA for doing a mother-son dance with my stepmom at my wedding?,ESH,NAH
yn74o3,AITA for throwing my wife a birthday party and royally pissing my mom off?,YTA,NTA
yklhhj,AITA for taking our son trick or treating without my wife?,YTA,YTA
yrn34k,AITA for taking back gifts i bought for my sister?,YTA,ESH
yox3ge,AITA for making a woman move because my kid was kicking her seat on the plane,YTA,YTA
yrxbs0,AITA for telling my sister to stop taking pictures of my husband while we were at the beach?,YTA,NTA
yk6dys,AITA for refusing to take down a video of my kids father dancing at my brother's wedding?,YTA,YTA
yr3mz5,AITA for driving 14 hours to surprise my husband on his business trip?,YTA,YTA
yksm3z,AITA for telling the coach to stay in his lane?,YTA,NTA
yjs1ek,AITA for telling my coworker’s wife nobody knew about her?,YTA,NTA
yk464j,WIBTA for actively trying to prevent my neighbors from parking in front of my home?,YTA,YTA
yu2n58,AITA for telling my sister she can't sleep with here bf while at my house?,YTA,NTA
yha6vf,AITA for calling my mom fucking insane?,YTA,NTA
ypmpvp,AITA for making a meal that my daughter hates?,YTA,ESH
yfkto8,AITA for offering to pay to send my niece to boarding school?,ESH,NTA
yx948r,AITA for giving my daughter's phone away to my son as punishment for something terrible she did to him?,YTA,YTA
ygv29z,AITA for forcing my MIL to babysit?,YTA,YTA
yrhzxl,AITA for not checking the scores of a certain NBA game on a 3 hour flight for a passenger on a in-flight WiFi I paid for?,YTA,ESH
yvvc84,AITA for not allowing my daughter's half sister to spend christmas with us?,YTA,NTA
yjb1t7,AITA for not introducing husbands biological daughter to her biological siblings?,YTA,YTA
ykr0gn,AITA for mixing a non alcoholic spirit in a virgin drink?,ESH,YTA
ylsln4,"AITA for, while absolutely being okay with it, telling my son it's weird that he is dating his step sister?",NTA,YTA
yt3n93,AITA for asking my sister to stop using her breastmilk pump at night and offering to buy her formula?,YTA,YTA
yuycmv,AITA for buying things for my cousin’s baby that was conceived during an affair with my sister-in-law’s husband?,ESH,NTA
yt8wo0,AITA for assuming “don’t worry about it” means “you don’t have to pay for that” at a bar?,YTA,NTA
yizqxt,AITA for yelling at my stepdaughter about her bathroom?,YTA,NTA
yo3gf2,AITA for refusing to sell my ex the cottage his grandfather left me but being willing to sell it to somebody my ex hates?,YTA,NTA
ywhl50,AITA for yelling at my brother-in-law that his “big brother act” is getting old and he needs to accept that I’m married to his sister?,YTA,NTA
yrq8if,AITA For refusing to put my 2 dogs in a long-term kennel,YTA,YTA
yfz8yx,AITA for picking a restaurant where I knew I wouldn’t be able to eat most of the food?,YTA,YTA
ynebmb,AITA for not letting my husband lock our bedroom door to stop our son from sneaking into our room at night?,YTA,ESH
ytgmrj,AITA for letting my brother go hungry to make a point?,YTA,NTA
yuaual,AITA for 'crashing' my ex's mother's funeral and telling his children I'm carrying their sibling?,YTA,YTA
ypk7gy,AITA for leaving MIL's funeral after my husband lied to me?,YTA,YTA
yr655c,AITA for canceling my plane ticket back home for thanksgiving?,YTA,NTA
yr0y2p,AITA for refusing to borrow my wedding (made by my mum) dress to my sister?,NAH,NAH
yggnja,AITA for taking my daughters “emotional support” dog back to the shelter?,YTA,NTA
yn91x6,AITA for saying my dad can't meet my son unless he gets to know my wife on some level?,YTA,NTA
yraao1,AITA for telling my ex that his family called my husband an upgrade.,YTA,NTA
yw68mj,AITA for kicking out the medical student for being female,YTA,YTA
yfwqpv,AITA for not going to help my GF?,YTA,YTA
yidi37,AITA for telling my friend that it wasn’t racism she experienced.,ESH,NTA
yipi15,AITA for making my roommate replace my garlic that she used?,YTA,YTA
yvgvjd,"AITA for sticking up for my rights to use a feature (skatepark) at a public park and getting it ""shut down"" for a few months while improvements are made?",ESH,YTA
yrxe5g,AITA for not letting my boyfriend stay at my home while I’m not there?,YTA,NTA
yu3mva,AITA for refusing to visit MIL's house again because her husband makes me uncomfortable?,YTA,NTA
yppmp1,AITA for throwing awayy neighbors packages?,YTA,YTA
yi9rp9,AITA for asking my girlfriend to pay rent on a house I am going to buy,YTA,NTA
yrlpv0,AITA for eating my daughter's sandwich?,YTA,YTA
yvzxf3,AITA for putting my pregnant wife in the hotel while my mother is at home?,YTA,YTA
yx48sc,AITA For not agreeing to an alcohol-free Thanksgiving,YTA,NTA
yx9t2m,AITA for getting upset that my real estate boyfriend helped a single woman move w/o telling me in advance?,YTA,NTA
ywmnij,AITA for refusing to pay a fee that was not mentioned in the agreement,YTA,YTA
yx6e2d,AITA for refusing to explain my memory box contents to my husband?,YTA,NTA
yjjbf0,AITA For refusing to loan my GF money unless she signs a contract and I keep an itemized list of what she owes me,YTA,NTA
yrv9bw,AITA for putting my pregnant wife ahead of my mom when it is my mom's birthday?,YTA,NTA
yhfmkn,AITA for not telling my wife about our son's broken arm?,ESH,NTA
ymhtt5,AITA for telling my wife she can’t drive my In-laws to see her sick brother?,YTA,YTA
ysutkv,AITA for how I treated my husband’s ex,YTA,NTA
yj6zkg,AITA for not leaving work to let my kids facetime their dad before his surgery?,YTA,YTA
yrelft,AITA for supposedly stressing my aunt out just before her wedding?,YTA,NTA
yhxlyy,AITA for yelling at my mom over what groceries she buys and what meals she cooks for us?,YTA,NTA
yuczt4,AITA for asking my fiancee to pay bills,YTA,YTA
yl3rqd,AITA for chewing my 8year old out for 'only thinking about herself' ?,YTA,YTA
yjf29b,AITA for threatening to call the landlord if my roommate allows a guest to stay at our apartment?,YTA,NTA
yjhpdr,AITA for refusing to eat a burger because it had sauce on it?,ESH,YTA
ysxsgm,AITA for telling my wife it's her own fault for not getting invited on a group trip?,YTA,YTA
yrl9od,AITA for asking a lady to leave the elevator if she’s afraid of dogs?,YTA,NTA
ymjg63,AITA for saying no to my sister-in-law using my husbands sperm to have a baby?,YTA,NTA
ysbg8c,AITA defending my husband after a prank went horribly wrong,NAH,NTA
ynra7t,WIBTA if I refuse to cook the roast more than medium rare?,YTA,NTA
ypjjid,AITA for arguing with my husband regarding Christmas?,YTA,YTA
yotxzw,WIBTA if I stopped buying TV dinners for my fiancé?,YTA,NTA
yp09r3,AITA for rejecting a family heirloom from my father-in-law even though my husband wanted me to accept it?,NAH,NTA
yq0b9n,AITA for splitting up a large takeout order to avoid paying a 22% gratuity and causing the restaurant to throw away $400 worth of food?,YTA,YTA
yv06sb,AITA for giving main character energy when RSVPing for a friends wedding?,YTA,NTA
ymrmdh,AITA for attending one niece's college party and not the other?,YTA,YTA
ypsy3d,AITA for allowing a customer to be recorded in my store after she made a complaint about an autistic employee?,YTA,YTA
ylcvmz,AITA for throwing away my bf’s toast?,YTA,YTA
yoi1h6,AITA for not inviting my parents to the reception unless they accept to sit in the front row as my parents?,YTA,NTA
yl0imy,AITA for blaming our house getting teepeed on my husband who gave toothbrushes instead of candy?,YTA,NTA
ype208,AITA For refusing to be my friends best man?,YTA,YTA
ykyipk,AITA for saying my ex’ daughter will always be my first baby?,YTA,NTA
yneeoo,"AITA for giving my sister a secondhand ""girls"" stroller at her babyshower?",YTA,ESH
yv9xka,AITA for not wanting my husbands ex wife to come in the house?,YTA,NTA
yu4qkm,AITA for telling my mom she was not a single mother?,YTA,NTA
yx16gh,AITA for commenting on my brother's girlfriend's weight,YTA,NTA
yq2c87,AITA for eating ice cream directly out of the tub?,YTA,YTA
yjl951,AITA for asking my husband not to wash his hands in my bath water?,NAH,NTA
ymohfm,AITA for telling my hyper-critical friend that not everyone wants a doormat man like her husband?,YTA,YTA
ymwy8i,AITA for trying to sell my late wife's motorcycle?,YTA,YTA
yup2tl,AITAH for making my kids do research papers in order to get Christmas gifts?,YTA,YTA
ywg85g,AITA for voicing unhappiness about my brother getting half of the inheritance?,YTA,NAH
ys2i5a,AITA for refusing to pay for my daughter’s plane ticket but paying for my youngest daughter who this vacation is dedicated to?,YTA,NTA
yvivgo,AITA for not wanting an unleashed dog coming up to my wife and I in a dog friendly brewery,YTA,ESH
yia4ra,AITA for not splitting the bill evenly?,YTA,NTA
yugr5i,AITA for turning my in-laws against my brother-in-law’s fiancée over a joke?,YTA,NTA
yir4uf,AITA for “revealing” my pregnancy at a wedding?,ESH,NTA
yw1h0b,AITA for telling my girlfriend that she's too heavy?,YTA,YTA
ys2o1r,AITA for chastising my son for selling the car we bought him for his birthday?,ESH,NAH
yxj7e6,AITA for abandoning my MIL in a parking lot full of watching people?,YTA,ESH
yo0hrn,AITA for telling one of my students that he’s in no position to tell his classmate to go back to his special Ed class when he is the only one failing both math and science?,YTA,ESH
ynfw8v,AITA for not letting my girlfriends dog sleep on the bed?,YTA,NAH
yseola,AITA for telling a new employee not to ask me for favors?,YTA,YTA
ynel9u,AITA for not letting my wife go out with her friend,YTA,YTA
yny84r,AITA for having a photo of my son's dna test framed and hanging in the living room?,YTA,NTA
ytib0x,AITA for telling my wife what my mom said and causing a huge rift in the family?,YTA,NTA
yvc6z5,AITA for leaving the delivery room before seeing my newborn?,ESH,NTA
ypyn99,AITA for refusing to stand up for my wife and kick my cousin out of the house?,YTA,NTA
yufksc,AITAH for telling my wife to fuck off and walking away,YTA,NTA
yqa78w,AITA for pointing out I didn’t invite someone to dinner with me?,YTA,NTA
ym9tqg,"AITA for telling my wife to suck it up and invite my mom's boyfriend to Thanksgiving, and implying maybe my mom doesn't like inviting her to things?",YTA,NTA
ymw8r6,AITA for crying and asking my boyfriend to leave over a burger?,YTA,NTA
yjqlvt,AITA for making my in laws leave?,YTA,NTA
yw7y3e,"AITA for telling my wife that since she is home full time, she should be doing more?",YTA,YTA
ywo5d9,AITA for being mildly annoyed at my girlfriend for using one of my eggs?,YTA,YTA
yl0mut,AITA for not caring that my daughter didn't invite me to her wedding?,YTA,NTA
yvkb4f,AITA for storming out on my in-laws after MIL show up an hour late and bring the exact meal I just cooked?,YTA,NTA
yp42lx,AITA: I am the MOH and was accused of stealing from the bridal party so I backed out.,ESH,NTA
ytmwyh,AITA for not wanting to do funerals any more and not going to my late FIL's funeral? She's going to get mad at me.,YTA,YTA
ym1ym2,AITA for telling my daughter I already knew she is a lesbian?,NAH,NAH
yuje53,AITA for not giving 24 hours notice to my daughter's roommates before dropping something off,ESH,NTA
yin7pf,"AITA for wanting to meet my ""daughter"" after giving up my parental rights?",YTA,YTA
yo5v14,AITA for refusing to let my sister and her family move in with me?,YTA,NTA
ylqnmg,AITA for leaving my 4y/o sister in a cornfield during a tornado watch?,YTA,YTA
ywxx4r,AITA- for making my 17 year old wear pull-ups?,YTA,YTA
yj9yw6,AITA for yelling at my daughter that she wasn't allowed to take any breaks?,YTA,NTA
ymw9n7,AITA for telling my husband he wastes water?,YTA,NTA
yqs3tt,AITA for saying my future SIL is entitled for wanting a separate wedding for herself?,YTA,NTA
yoty6l,"AITA for baking a cake with raisins for my family, despite my mother hating them?",ESH,NTA
yqi2ph,WIBTA for not introducing my daughter to her biological mother?,YTA,YTA
ym9dsk,AITA for calling my husband’s family tradition dumb?,YTA,NTA
yqfxkm,AITA for getting tattoos when my bf hates them?,ESH,NAH
yvyt52,WIBTA if I put my foot down and make my parents not invite my uncle for the holidays?,ESH,YTA
yx2hcw,AITA for confronting my husband for treating the girls so differently?,YTA,YTA
yjlpqr,AITA for stopping dog friendly Fridays from happening,ESH,NTA
yke0kj,AITA for not welcoming a pregnancy from my mom?,YTA,NTA
yhq8ls,AITA for not paying for a competition trip?,YTA,NTA
yu1qya,AITA for asking my husband to buy me a pair of jeans when I know money is tight?,YTA,NTA
ypxy6e,AITA For asking my husband for more money for daily expenses,YTA,YTA
ywx3y3,AITA for demanding that my uncle and his wife cover the cost to replace my laptop after their son got a virus on it?,YTA,NTA
ymzaep,AITA For refusing access to my financial accounts and asking for a prenup?,YTA,ESH
yv70pu,AITA for taking two of my kids on a weekend vacation to the beach and not the other two?,NAH,NTA
ypi19l,AITA for refusing to delete a post off social media because my Grandmother says it reflects badly on the family?,YTA,NTA
yuw2eg,AITA for not keeping my daughters room empty when she left?,YTA,YTA
yp2mlx,AITA for getting a bible for my mom’s and her husband?,YTA,NTA
yq20sc,AITA for calling out my mom for always putting my younger sister before me?,YTA,NTA
ytq3nx,AITA for refusing to compromise and take colder showers?,YTA,NTA
yhqby0,"AITA for not standing up to my mom and allowing her to ""exclude"" my 13 year old who is a picky eater?",ESH,NTA
yv4p8k,AITA for making this woman uncomfortable while drunk and refusing to apologize?,ESH,NTA
yl2jup,AITA for taking away my tweens en-suite and putting her in the smallest bedroom?,ESH,YTA
ym42p5,AITA for calling my fiance delusional and not letting him punish my son?,YTA,YTA
yu8tm5,AITA for leaving after being told to be quiet at dinner?,YTA,NTA
ypwwpr,"AITA for calling my GF sexist, kicking her out and causing her to get fired?",YTA,NTA
yk4xiw,AITA for telling everyone it’s not Andy’s birthday?,YTA,NTA
yijwht,AITA for calling my daughter's ballet lessons a waste of money in an argument?,YTA,NTA
yol479,AITA for telling my mom I didn't like her food?,YTA,YTA
znv2b3,AITA for asking my husband to stop waking up early to exercise while on vacation?,YTA,NTA
106svw3,AITA for making my son cook his own suppers after demanding special accommodations?,YTA,NTA
100fzew,AITA if I don't want to buy my SIL any kind of gifts in the future,YTA,NTA
102r3mn,AITA for grounding my eldest son for not disclosing what my youngest son did?,YTA,YTA
10cjgg2,AITA going to my brother's bachelor's party despite wife's disapproval?,YTA,NTA
zsv0qw,AITA for getting into an argument over someone reclining their seat on an airplane?,YTA,NTA
zw63qs,AITA for announcing our pregnancy at xmas knowing my SIL has had miscarriages?,YTA,NTA
zcwttq,AITA for getting an impulsive against my wife's wishes?,YTA,YTA
109frvy,AITA for not forgiving my husband,ESH,NTA
zv05qb,AITA for wanting to allow 2 of my kids to open their Christmas presents as soon as they wake up instead of waiting for their older sister to come home from her moms house?,YTA,NTA
yz84l9,AITA for wanting to go see a movie while my father is in his death bed?,NAH,NTA
zbuvd1,AITA for going to get ice cream instead of going home after my flight landed?,YTA,NTA
zirb4y,AITA for telling my dad's wife that she's not my baby's grandma?,YTA,YTA
109jbmx,AITA for not wanting to deal with a crier?,YTA,NTA
10f5pdz,AITA for disclosing my husbands medical history to our couples therapist?,YTA,NTA
zmxx8w,AITA for being upset that I won't see my grandkid for Christmas and calling out my daughter,ESH,NTA
zupr4r,AITA for expecting people to put their pets in another room when I visit because of allergies?,YTA,YTA
102mvcq,AITA for saying my parents should give me some of the money that they spend on my sister?,YTA,NTA
zdcw81,AITA for not allowing my sister to make her kids food at my house during our Christmas party?,YTA,NTA
zm45fi,AITA For not consulting my husband before I agreed to work this weekend,YTA,YTA
zq4lmw,AITAH for being upset that my FH don’t buy enough presents for his parents?,YTA,YTA
zwsft5,AITA for allowing my daughter to call my husband ‘dad’?,ESH,YTA
108fcym,AITA for asking my fiancée to sleep on the pull out couch so my daughter could sleep in my bed?,YTA,YTA
106xjfi,AITA for throwing away an eaten dinner that I spent two hours preparing?,YTA,YTA
zqwl1j,AITA for ‘abandoning’ my wife on Christmas to be with my grieving friend?,YTA,NTA
zbdh96,"AITA for ordering fast food for my daughter, but not for my niece because of her allergies?",ESH,NTA
zlpjqy,AITA for refusing to invite my step-niece to my daughter's Christmas party?,YTA,NTA
zsy75i,AITA for not allowing my daughter to spend Christmas with me and my *new* family?,YTA,YTA
zqd7ku,AITA for going on a trip with my friend despite my girlfriend's ultimatum?,YTA,NTA
1004vey,"WIBTA for comparing $7,000 Christmas gift to $5 Christmas gift?",ESH,YTA
1097w53,AITA for asking my MIL to not give candy to my kids when they visit her?,YTA,YTA
zczycr,AITA For not wanting I pay rent when moving in with my GF?,YTA,NTA
10hvjqt,AITA for not being thrilled to take in my wife's little brother and suggesting we find him another relative to life with ?,YTA,NTA
zqyh40,AITA for not wanting my ex's son at my Christmas?,YTA,YTA
105c0l1,AITA for contesting my Dad’s will (and likely winning) against my Dad’s girlfriend,YTA,NTA
z9qkuj,AITA: My wife isn’t spending my birthday with me…,YTA,NTA
10dip0r,AITA for not making extra pancakes for my niece?,YTA,NTA
z1y2hf,AITA for telling my daughter I won't be coming to her wedding?,YTA,YTA
zhuti0,AITA for not letting my wife take our kids to see her family over the holidays?,YTA,NTA
zxmiba,AITA For not doing the activity my husband picked on vacation even though he did the one I wanted,YTA,YTA
zndyhn,WIBTA for telling my mom to stop letting my daughter call her mama,ESH,NTA
zno439,AITA for explicitly excluding a friend’s boyfriend from my party?,YTA,NTA
106561e,AITA for not letting my ex stay with me when he visits even though I live here for free thanks to him?,YTA,YTA
109qmli,AITA for giving one daughter more inheritance?,YTA,NTA
107t3sc,AITA for requesting no dogs around my son.,YTA,YTA
z6c9qg,AITA for being super annoyed that thanksgiving dinner was intentionally un-seasoned?,YTA,YTA
za1r7i,AITA for getting a trophy for my daughter who lost a competition?,YTA,YTA
zl1ny4,AITA for uninviting my friend and his wife from Christmas dinner after discovering she slept with my husband?,YTA,NTA
zofmz2,"AITA for turning my wife down on getting a hotel for Christmas due to the cost, but considering it for my mom?",YTA,YTA
zzf0d9,AITA for not wanting my 19yo stepdaughter to chill in my bed with her mom like it's her bed?,YTA,YTA
10297y9,AITA for telling my mom she’s the reason fat people hate themselves?,YTA,YTA
zhu4pm,"AITA for refusing to confront my mom for ""badmouthing my wife"" and ""acting like a spoiled princess""?",YTA,NTA
107i670,AITA for asking my brother if he could put a lock on my ensuite door as my husband keeps coming in while I’m showering?,YTA,NTA
100mood,AITA for letting my fiancee upstage my ex?,YTA,NTA
105jizi,AITA for expecting my boyfriend to quit weed with me because I am pregnant,YTA,YTA
100gee4,AITA for not giving a stranger a ride home?,YTA,NTA
z09euc,AITA for being angry at my ex for tattooing my name on his body?,YTA,YTA
z5nr8z,AITA for not simply agreeing with my spouse that I've been an ass/mean/unreasonable,YTA,NTA
zyhpy3,AITA for not proposing to my girlfriend because her family owes me money?,YTA,YTA
z2lzyk,AITA for playing Fortnite for a whole day?,YTA,NTA
z0xhs3,AITA for I for interviewing our former HS football star who graduated 2 years ago and is living in a homeless camp? My parents are furious with me and I’m probably going to be fired as editor of our school news site.,YTA,NTA
zfb5i2,"AITA for not buying Christmas gifts for my 5 year old nephew, but will buy it for all other nephews and nieces?",YTA,YTA
zv2wac,AITA for ruining Christmas Eve for my ex’s fiancée?,YTA,YTA
z0fdga,AITA for taking back control of Thanksgiving meal planning and cooking from my husband?,YTA,NTA
10ffw4m,WIBTA if I went to my daughter's birthday party?,YTA,NTA
ztvlk5,AITA for not letting my teenage daughter weigh in on the bathroom remodel.,YTA,YTA
zv356s,WIBTA for refusing to cook for my aunt because of how she eats pizza,YTA,NTA
10c56qv,AITA for warning my friend her baby would be treated differently by the father’s family because she isn’t married to him?,YTA,YTA
z9909l,AITA for watching TV while my daughter eats dinner?,NTA,NTA
105xge4,AITA for refusing to accommodate my stepdaughters new diet?,YTA,NTA
z9tcpf,AITA for telling my brothers roommate his Christmas plans don’t really matter?,YTA,NTA
zpa1he,AITA for only allowing guests to attend our holiday party if they bring a dish?,ESH,NTA
zvps46,AITA for insisting on getting a cat?,YTA,YTA
zw1kt0,AITA for requesting a new mattress after my brother and sister in law had sex in my bed?,YTA,NTA
10c0lvy,AITA for accusing a Christian lady of being Muslim,ESH,NTA
yy6wk4,AITA for making my brother-in-law wait outside in the rain?,YTA,NTA
zqyd4l,AITA for not adding my fiancé to the house deed?,YTA,YTA
107es27,AITA- Making my wife and son (9) fly Southwest instead of private or semi-private to California for a birthday Disney trip,YTA,NTA
yzc65h,AITA for throwing away my coworkers sweater,YTA,YTA
z8jqle,AITA for asking my girlfriend to dress a bit nicer in public?,YTA,YTA
zz01jx,AITA for saying “good job” to my son after he scribbled on my husband’s home office walls?,NAH,YTA
10gtpy2,AITA for telling my wife she was rude and disrespectful to my parents ?,YTA,NTA
z2rtqo,AITA for intimidating/embarrassing a child in front of his peers for stealing from my son?,YTA,NTA
zb1l6y,AITA? Wife is mad about me playing video games.,ESH,NTA
101xy58,AITA for not wanting to eat what a 10 year old cooked on her own?,YTA,NTA
107jwd2,AITA for not splitting my work bonus with my wife?,YTA,NTA
1053aix,AITA for showing up at my ex’s wedding in a pretty dress?,YTA,NTA
1083wsn,AITA for still not apologizing to my SIL for having a medical emergency?,YTA,NTA
10fc9gs,"AITA for grounding my son for abusing my trust and banning his ""bestfriend"" from spending the night anymore?",YTA,NTA
z2c0nm,AITA for uninviting my MIL from Thanksgiving because she refuses to eat my cooking?,YTA,NTA
zb004v,AITA for calling my mother-in-law multiple times to check up on my baby while I was on a trip with my husband?,YTA,YTA
zcr2il,AITA for not stopping my son from going to his uncle’s house without asking first even though his fiancée asked me to?,YTA,NTA
zbt26c,AITA for calling my husband selfish because he let our toddler nap too long,YTA,YTA
zub1xc,AITA for waking up my husband for work/giving him an early Christmas present,YTA,NTA
105rdb5,AITA For not booking the reservation for a place my fiancé really wants to go for her birthday?,ESH,NTA
105zp0d,AITAH for telling my girlfriend to take her new dog back?,YTA,YTA
1028xx9,AITA for borrowing my husbands underwear?,YTA,NTA
z4nxm4,"AITA for refusing to participate in my bf's family's ""tradition'.",YTA,NTA
zrnqv7,AITA for asking my well-off friend to stop complaining about money?,YTA,YTA
