post_id,title,z3_verdict,ground_truth_label
zyjn4p,AITA For not asking if I can take my daughter on holiday?,YTA,NTA
ziin4k,AITA for telling my fiancé his brother can't come to our wedding,YTA,NTA
yys33k,WIBTA if I opt out of Thanksgiving with my parents because my brother and new wife (who left me out of their wedding) will be there?,YTA,YTA
z90sdx,"AITAH for telling my wife that it's no longer ""her"" money but ""our"" money, for now.",YTA,YTA
yzq4mg,AITA My sister is not letting me teach my nephew.,YTA,NTA
10dttwx,AITA for prioritising my parrot over my stepdaughters wedding?,YTA,YTA
z2ep2g,AITA for offering two different kinds of cake at our wedding?,YTA,YTA
zlls6j,AITA for expecting my mom to get a divorce?,ESH,YTA
zfa4a0,"AITA for inviting my brother's ex to Christmas, even when his current one said she didn't want to?",YTA,NTA
10841vt,AITA for having a go at my brother for deciding to box in my 30th birthday with his wedding?,YTA,YTA
zd7k36,AITA for not allowing my Mom’s husband to attend my wedding?,YTA,YTA
zmwo6l,AITA for not wanting meat on Christmas Eve?,YTA,NTA
zydqw5,AITA for being upset about my daughter’s costume,YTA,YTA
znffyu,AITA for telling my coworker to stop expecting us to like a kid?,YTA,YTA
zg3wql,AITA for not wanting to go to my in-laws on Xmas Eve?,YTA,YTA
109im4n,AITA for not accommodating the grill at a BBQ and making separate food for my vegan friend?,ESH,NTA
z0thp1,AITA for doing what I want for my daughter and not caring about how my niblings will feel?,YTA,NTA
z1bx20,AITA for prioritizing something that happens every year over a once in a lifetime event?,YTA,YTA
10albaw,AITA for getting a dog my GF doesn’t approve of?,YTA,YTA
zg7dxn,AITA for letting my daughter wear the clothes that no longer fitted her sister even though it made her insecure?,YTA,NTA
zwjxvh,AITA for having my sister and her two kids stay with us after one of her kids DIED.,YTA,NTA
1089da3,AITA for telling my sister and BIL if they don't like the way that I'm helping then I won't help at all?,YTA,NTA
10hjvfx,WIBTA if I ask my wife to stop hiring help,YTA,YTA
z13kn1,AITA I told my sister to just adopt a baby.,YTA,NTA
yys093,AITA for paying private school for my son but not for my daughter?,YTA,NTA
zk9lws,AITA for calling my husband heartless after he gave my friend money and told her to leave?,YTA,NTA
zvunyo,AITA for getting mad at my parents for not getting me a Christmas present?,YTA,NTA
ze8yfa,AITA for telling a 6'8 giant to upgrade his seating?,YTA,YTA
101j8nc,AITA for asking my MIL to return a gift from my husband’s mistress?,YTA,NTA
106k0rk,AITA for not going into the store and buying my sister a plan b because she was too embarrassed,YTA,NTA
yxtkzq,AITA for threatening to skip Thanksgiving?,YTA,YTA
zv27h4,AITA for being upset with my gift from my partner?,ESH,NTA
zvdgzm,AITA? I bought my cousin’s daughter a $4K gift for Christmas and ended up spending more on her than her mother did. AITA for not checking with her mother first?,NAH,NTA
zxdyxr,AITA for not spending this Christmas in the hospital with my daughter?,YTA,NTA
105sdyc,AITA for requesting a Service Dog to change tables,YTA,YTA
1019kwa,AITA for refusing to help out with house work?,YTA,YTA
zsoic7,AITA for altering my mums wedding dress?,YTA,NTA
zqbsvk,"AITA for adopting my dad’s dog when he died, even though my wife didn’t want me to?",YTA,NTA
10ewjkh,AITA for not going to my daughter's wedding because of my stepdaughter?,YTA,NTA
102ge2y,"AITA for giving my daughter a ""better"" present than my son?",YTA,NTA
zsnzms,AITA for refusing to buy my stepsons Christmas gifts?,YTA,NTA
100curi,AITA for storming out after we missed New Years Eve because my dad wouldn't change the channel?,YTA,NTA
z0z2b4,AITA for standing by my husband?,YTA,YTA
zze8bq,AITA - calling out family for not visiting wife in the hospital.,YTA,NTA
zf5mpw,AITA for uninviting my dad and his wife from my wedding after finding out how they got together?,YTA,NTA
z2xo5j,AITA for refusing to take my kid this holiday weekend?,YTA,YTA
10cmrdt,AITA for asking my MIL not to wash her panties in the kitchen sink?,YTA,NTA
zcm8fl,AITA for being annoyed with my wife for not babysitting for her SIL in labour while she can’t get pregnant?,ESH,NTA
ze5s7k,AITA for telling my brother off when he berated my daughter for not changing her cousin's diaper?,YTA,YTA
z5evh9,AITA for not mentioning that I have a boyfriend before a guy bought me drinks,YTA,NTA
10awwml,WIBTA for reporting my roommate to CPS?,YTA,NTA
zbqmer,AITA for telling my SIL that her pregnancy announcement hurt me?,YTA,NTA
zsaj8j,AITA for 'overstaying my welcome' despite being invited to extend my stay?,YTA,YTA
105wvit,AITA for requesting my vegan step-daughter pay for her vegan-specific groceries?,YTA,NTA
106spv4,AITA for possibly excusing my dad's affair and telling my sister to move on?,ESH,YTA
10fl7yp,"AITA for letting my kids ""bully"" my fiancee's son?",ESH,NTA
zp20mg,AITA for telling my boyfriend that his daughter is not going to an Ivy League school?,YTA,YTA
z149h2,AITA For not sacrificing time with my family so that my wife can spend time with hers,YTA,NTA
106zucp,AITA for freaking out because my Fiancé called my 5 yr old a douche bag to his face?,YTA,YTA
101tx8e,AITA for kicking my fiancé out while I breastfed our baby and making his mother tell him off?,ESH,NTA
10d3b7n,AITA for wanting to be kissed at my wedding?,YTA,NTA
zmmla3,AITA for refusing to pay for my son's dental surgery?,YTA,YTA
107n5mf,AITA for only speaking my mother language in my home and making my son's girlfriend uncomfortable?,YTA,YTA
10bqp92,AITA for telling my son to get over the divorce?,YTA,NTA
zxxmw8,AITA for asking my friend if they want to buy something I got for free?,ESH,NTA
106nq5z,AITA for buying a house without consulting my fiancee?,YTA,NTA
zeplpi,AITA for refusing my sister’s offer to be in her bridal party and not giving an explanation?,YTA,YTA
10e1xm1,AITA for not wanting my fiancé’s ex at our wedding?,YTA,NTA
zygaul,"AITA,had a huge fight with my wife over opening a present.",ESH,NTA
yxuu45,AITA for telling my parents to pick between me and my sister for the Hollidays?,YTA,NTA
ztgh07,AITA for leaving my husband for a Christmas trip to Hawaii with our kids,YTA,YTA
1067mmc,"AITA for ""talking back"" to my boyfriend's mom after she apologized for throwing away the leftovers I had in her fridge?",YTA,YTA
10h6nvw,AITA for telling my brother that I think he made the wrong choice regarding what happened to his daughter and current wife?,ESH,NTA
z4qm7c,AITA for only now telling my fiancé I was married?,YTA,NTA
zn6nqi,AITA For Threatening To Drop Off Our Child at Our Husband's Work?,YTA,YTA
zw2zlj,AITA for telling BIL he has a good life because he’s living off of my sister?,YTA,YTA
10380zr,AITA for not wanting to go to my sister’s NYs party after she overshadowed my engagement?,ESH,YTA
zfe8sv,AITA for not telling my fiance I'm an orphan until we were planning our wedding + telling prospective MIL and FIL that I didn't want them to be my parents,YTA,YTA
zrh9bh,AITA for telling my mom I don't care about how my siblings feel?,YTA,YTA
zw907o,AITA - Asking my sister (bridesmaid) to shave armpits just for wedding?,YTA,NTA
10arhs3,AITA for giving my daughter a car that I previously promised my girlfriend?,YTA,YTA
10c9eki,AITA for skipping out on the gym when my husband was waiting for me?,ESH,NTA
zof4b4,AITA for wanting to go to my mom's wedding though the groom called my wife ugly?,YTA,YTA
z1746s,AITA for snitching on my stepsister who had her friends over cause she mocked me?,YTA,NTA
z5cw5f,AITA for asking my son in law to install a new garage door opener while they are visiting for the holiday?,YTA,NTA
zz7qxz,AITA for not allowing my bf’s friend and his friend’s gf stay at our house,YTA,NTA
100usmb,AITA - my wife is mad at me for saying I didn’t want to have kids yet or even start trying,ESH,YTA
102v6dv,AITA for giving a vegan exactly what she asked for,YTA,YTA
105dqqa,AITA for ruining my uncle´s wedding and marriage because of a dress?,YTA,NTA
zpja5r,AITA for getting rid of my daughter’s dog,YTA,YTA
yzffhz,AITA for not saying anything after my cousin-in-law kicked my husband out of the room while I was feeding our son?,YTA,YTA
1099mpn,"AITA for refusing to get my sister dinner after she said “you’re just a man, you wouldn’t get it”?",YTA,NTA
10evtfh,AITA for letting my 7 yo stay in the car while I ran in to cash a check?,YTA,YTA
z6uv0a,AITA for taking away my daughter's birthday gift?,YTA,YTA
z6awxw,AITA for not wanting to get a new tree topper?,YTA,NTA
zxav7o,AITA for expecting my bf to bring me to my appointment?,YTA,NTA
1048trc,AITA for making a big deal out of my husband saying we might as well have a baby now while I’m still young?,ESH,NTA
yxq78q,AITA for joking that my niece is the reason I changed my mind about having children?,ESH,NTA
z64kyt,AITA for saying that expecting your older children to watch your younger children is “casual child abuse”?,YTA,NTA
zv8x09,"AITA for not wanting my son to call his stepfather ""Sir""?",ESH,YTA
100rli7,AITA for how I responded to my sister pregnancy announcement.,YTA,NTA
yz2k83,AITA for putting my neighbour’s trash back at their doorstep after they put it in front of my house without asking?,YTA,NTA
z37khg,AITA for saying my boyfriend’s roommate can’t come to Thanksgiving Dinner?,YTA,YTA
zxhhay,AITA for shaming my brother for asking me for money?,YTA,NTA
10390cp,AITA For Wanting My Fiance To Re-home His Dog,YTA,YTA
106tqls,AITA for cancelling dinner after my fiancé let his mother sit in the front seat?,YTA,YTA
zefgqt,AITA for sending back the gifts my husband and his family are sending for our baby?,YTA,NTA
zmbc6s,AITA for telling my husband he should’ve done more for my birthday?,YTA,NTA
zuf14r,AITA for still having my 10( almost 11) year old daughter in a booster seat?,YTA,YTA
10d1jrz,AITA for putting up a painting of one of my friends in the nude in my room?,YTA,YTA
zdni8g,AITA for refusing to give some girl a ride home after she called me a misogynist?,YTA,YTA
1007i9w,AITA for banning my daughter from parties for flashing her boobs?,YTA,YTA
zha5l8,AITA for asking my wife not to bring certain foods into the house?,YTA,NTA
104nj5u,AITA for making something difficult for my son about myself?,YTA,YTA
zx3f6z,AITA if I don’t like my partners singing and ask them to kindly stfu,YTA,YTA
108ljli,AITA for refusing to help my husband with the bills even though I make more than him?,YTA,NTA
10c6wws,AITA for refusing lower child support payments?,YTA,NTA
zk8itq,AITA for not telling my wife our kid was hurt?,YTA,NTA
zr4arb,AITA for redoing my nursery after my sister already designed it for me?,YTA,YTA
z45qtu,AITA for going home because of my sisters dog being at Thanksgiving,YTA,NTA
zwnnr7,AITA for being jealous of my husband saving money for a ps5,YTA,NTA
zyv92s,AITA for wrapping my anti-equality family members’ gifts in gay pride wrapping paper?,YTA,NTA
z5e5qv,AITA for telling my sister to stop leaving her room when she's wearing her nightgown?,YTA,YTA
1071nit,AITA for unpunishing my daughter?,YTA,YTA
10998hu,AITA for not throwing my wife a 40th birthday party?,YTA,NTA
zdxah7,AITA for telling a woman she looks prettier in person than pictures?,ESH,YTA
zwfkrv,AITA for removing the door to my son's room indefinitely?,YTA,NTA
10cnpmn,AITA for telling people that my girlfriend shat herself during our son's birth?,YTA,NTA
10cuuno,AITA for telling my husband to fire my cousin?,YTA,YTA
zqjjrp,AITA for telling my brothers new fiancé she isn’t my kids aunt?,YTA,YTA
102lvqj,AITA for turning the heat way up when my roommate isn’t here?,YTA,NTA
103qxve,AITA for being rude to a man at the grocery store,YTA,YTA
10466tv,AITA for causing a scene at my fathers wedding?,YTA,NTA
105c5gi,AITA for telling my son that I love him?,YTA,YTA
yzj7p0,AITA for telling my dad that I'll GLADLY spend christmas with him if he gives me back my college fund as a christmas gift?,YTA,NTA
zqont6,AITA for going shopping when my husband was sick?,YTA,YTA
zzceun,AITA for uninviting some of my husband’s friends from a trip they planned while we were separated?,YTA,YTA
101b5pe,AITA for telling my sister not to use skin cream before my wedding?,YTA,YTA
zawk1q,AITA for refusing to attend my sister’s wedding when she wants me to wear a dress?,YTA,NTA
zlypmm,AITA for cutting my BIL off after he put my dead sisters dog up for adoption?,YTA,YTA
107itmm,AITA For demanding my husband respect my children,YTA,NTA
yywck3,"AITA for defending my mom to my wife and allowing her to ""ruin"" my son's christening?",YTA,NTA
yyreji,AITA for not supporting my cousin against our racist grandfather because I don’t want to risk my inheritance?,YTA,NTA
z0ny65,AITA for telling my wife why I was upset on her birthday?,YTA,YTA
z937qy,AITA for refusing to go on vacation until my dad and stepmom make things fair?,YTA,YTA
10cecvs,AITA for Asking my Partner to Leave a Party Early and Cancelling his Trip Ticket?,YTA,NTA
zb1dd4,AITA for not wanting to give my room up so my parents can turn it into a nursery,YTA,NTA
zkgtbm,AITA for deleting pictures of myself and my baby from my ex’s phone without permission?,YTA,NTA
1035u7i,AITA for not giving my room to their child?,YTA,NTA
10frkpg,AITA for buying my husband's daughter a gifr that she always wanted and her parents didn't want to buy her?,YTA,NTA
z06su2,AITA for refusing to go to my mom's wedding as my wife is not invited?,YTA,NTA
zu1e2t,AITA for thinking it is not normal for family members that are visiting to eat from your fridge without asking?,YTA,NTA
zfetbs,AITA for ordering another cake for my SIL’s wedding?,YTA,NTA
101msrt,AITA for taking a ‘nepotism baby’ joke too personally?,YTA,NTA
10eg9rw,AITA for not wanting to pay for my stepdaughter's travel expenses?,YTA,YTA
10hd1wk,AITA for using the word squishy even though it makes my bf’s friend uncomfortable.,YTA,NTA
yym9xo,AITA For Ringing Neighbors Door Bell at Midnight Because They Are Blocking the Sidewalk and Threatening to Call Police?,YTA,NTA
1060mmu,AITA for canceling my husbands kids phone lines?,YTA,NTA
10dkvdd,AITA for not getting a part-time job while my partner works full-time?,ESH,NTA
zs87t2,"AITA: For ""upstaging"" my wife in our Christmas cookie baking tradition?",ESH,NTA
1099gmm,AITA for hiring my niece as a babysitter?,YTA,NTA
zhs6mt,AITA for telling my former sitter he should had asked permission before posting pictures of my kids on his IG account?,YTA,YTA
ziqp7c,AITA for delaying an important doctors appointment of a refugee since he needed to pray?,YTA,NTA
10h61p0,AITA for not letting my ex’s girlfriend and her kids come to our daughter’s birthday party?,YTA,YTA
z3pnal,AITA for telling my cousin she would have to pay rent if she moves in with me even though I don’t pay any rent?,YTA,NTA
zz2g0r,AITA for not allowing my daughter to dress casually at my wedding?,YTA,YTA
10glu35,"AITA for correcting my girlfriend that ""couple of months"" means 2 months and not 8 months?",YTA,NTA
109rgbg,AITA for telling my parents that I'll never watch my little brother?,YTA,NTA
10fkslk,AITA for refusing to humor a child with a fear of dogs?,YTA,NTA
zzzo2z,"AITA for getting frustrated with my girlfriend who's just instantly good at everything, including rock climbing apparently?",YTA,YTA
10355i9,AITA for wanting hot food?,YTA,YTA
106k650,AITA for not paying my daughter’s medical bills?,YTA,YTA
10b56lm,AITA for telling my neighbour to move her car?,YTA,YTA
10hvfi2,AITA for calling my gf cheap?,YTA,YTA
zndt27,AITA for not wanting to change plans to see my fiancé after he came home from a business trip?,YTA,YTA
108ngjd,AITA for not wanting to turn off my bedside lamp at 2 am per my bf’s request?,YTA,YTA
z1ujja,AITA for asking my fiancé to wear a different dress to a work event?,YTA,NTA
zw1wht,AITA for tipping $5 on a $10 restaurant bill that was originally $70?,YTA,NTA
1078rio,AITA for knowingly obstructing someone’s view at a sporting event,YTA,YTA
z142lv,AITA for stopping cooking my husband meat?,YTA,YTA
z3b7yx,AITA for wanting to forego my in-laws’s thanksgiving because they don’t respect my dietary restrictions?,YTA,NTA
z3xe4n,"AITA for ""acting like a spoiled brat"" to get the car I wanted?",YTA,YTA
1056go0,AITA for asking my sister to pick a different baby name?,YTA,NTA
z1d5qk,AITA for refusing to invite my uncle’s boyfriend to my wedding?,YTA,NTA
zp0z6k,"AITA for getting banned from a pub forever, genuinely wondering was I in the wrong?",YTA,NTA
z4314g,AITA for refusing to any work around the house and not making my family thanksgiving dinner?,YTA,NTA
zof3nv,AITA for announcing our pregnancy on social media without telling my daughter first?,YTA,NTA
zujikx,AITA for buying my kids an elf on the shelf despite my wife's anxiety?,YTA,YTA
10cumc3,AITA for suggesting my dad change his wedding date?,NAH,YTA
z1rngc,AITA for refusing to let my daughter invite her bio dad to her birthday and threatening to cancel it?,YTA,YTA
10he11c,AITA for telling my sisters bf shes lying about her age,YTA,NTA
zalz8v,AITA for not wanting this woman to talk to my child about her religion?,YTA,NTA
zzykgm,AITA for moving continents and signing up my kids to local school as opposed to international (American) one?,YTA,YTA
109ak8v,AITA for telling my sister off after she wanted to charge my daughter for concert tickets she was no longer using?,YTA,YTA
10gp9v3,AITA for not going to my cousins home because of food?,YTA,YTA
zkz3oo,WIBTA if I banned my son's boy crush from our house,YTA,YTA
zqzsyp,"AITA For telling my girlfriend if she chooses to not come be with me, I don’t want to be with her anymore?",YTA,NTA
101gg8h,AITA for asking my mom to just go along with my fiancee's boundary even though it is hurtful?,YTA,YTA
z455uw,AITA for joining my friends on a trip but staying in a separate (better) hotel .. and doing my own thing a bit?,YTA,YTA
z9us05,AITA for refusing to take my son to visit his dad in the hospital?,NAH,NTA
zlczxp,AITA for not answering when my husband called to speak to our kids before bed?,YTA,NTA
zsg59y,AITA for not wrapping my (26m) girlfriend’s (25f) Christmas present?,YTA,YTA
zsmz88,AITA for not letting our kids eat my wife’s cooking?,YTA,YTA
zwxwty,AITA for making my kids share a room so my boyfriend can have an office?,NTA,NTA
106yda3,AITA for refusing to wake up to take care of our baby,YTA,NTA
z2gk2m,AITA for telling my bio daughter (who we didn't raise) we can't attend her lunch event because my step is getting married the same day?,YTA,YTA
zk2dsp,AITA For putting conditions on having my MIL stay with us over the holidays,YTA,NTA
zrw52r,AITA for asking my husband to move his exs belongings out of the house?,YTA,YTA
zrtrkz,AITA for not caring about my child’s mothers concerns and doing what I want?,YTA,YTA
zv3d39,"AITA for telling my friend she doesn’t have a relationship, but an Otome game?",YTA,NTA
z4grjk,AITA for calling my wife out on her BS during Thanksgiving dinner with her side of the family?,YTA,YTA
1099ps3,AITA for buying $500 of mismarked Prime Rib?,YTA,YTA
10e0371,AITA for not telling my wife that I decided to quit drinking,YTA,NTA
10flk1p,AITA for not wanting to take my daughters poopy diaper home with me from her grandparents house?,YTA,YTA
zpy3l5,"AITA for letting my friend hide something in the apartment I share with my boyfriend, no questions asked?",YTA,NTA
z1dmx8,AITA for being upset that my niece requested payment when I asked her to babysit for a couple hours?,YTA,NTA
z3ugbk,AITA for refusing my stepfather?,YTA,YTA
zeo9u1,AITA for recording my ex’s drunken apology?,YTA,NTA
zzp1cd,AITA for saying no when my former roommate demanded board in my house?,YTA,YTA
103mq2b,AITA for telling my pregnant fiancee she's selfish after coming from seeing my mom in an accident?,YTA,YTA
10h78yi,AITA for sending my partner to work with a lettuce sandwich for lunch?,ESH,NTA
zp42ow,AITA for telling the autistic she should just quit,YTA,YTA
zbb0ht,AITA for refusing to invite my dad's sugar baby to my wedding??,YTA,NTA
z4e7wc,AITA for inviting my great uncle to thanksgiving that half my family hates?,YTA,NTA
z5hhn0,AITA for banning my mom from all future Thanksgivings?,YTA,YTA
zpbe4h,AITA for temporarily sending my son's dog away.,YTA,NTA
zsvlb5,AITA for refusing to let my cousin-in-law’s girlfriend borrow something to wear?,YTA,NTA
zb6dqu,AITA for interrupting my brother-in-law’s time with his girlfriend to ask him to buy me chocolate cake?,YTA,YTA
zlxh68,AITA for refusing to take my daughter to her favorite pizza?,YTA,NTA
zvd6gr,AITA for not wanting to shovel snow as a guest?,YTA,NTA
105c1v7,AITA for not including my children in a tradition?,ESH,NTA
ztakh2,AITA for choosing to leave town for Christmas due to my families rules?,YTA,NTA
10gj7st,AITA for telling my daughter she can’t go to school in short shorts?,YTA,NTA
zf24e7,AITA for not letting a man go in front of me in the security line bc he was late for his flight?,YTA,YTA
zp8xlc,AITA for asking a lady to take her service dog off the table.,YTA,YTA
10739pt,AITA for giving my kids ‘unfair’ chores?,ESH,NTA
10cozvx,AITA for going home when my sister didn't put her dogs away,YTA,YTA
z7i6zr,AITA for taking my friend to a small operation instead of my husband?,YTA,YTA
zusiwp,AITA for ‘ruining’ white elephant with a custom blanket of sexy Jesus?,YTA,NTA
104p6tz,AITA for not wanting to name my son after my wife’s dead best friend?,YTA,NTA
10frdrh,AITA for not wanting my fiancés daughter to be a bridesmaid in my wedding?,YTA,YTA
101guwv,AITA for replacing my daughter and not including her as a part of my new family?,YTA,NTA
zsxazy,AITA for expressing discomfort with my MILs gift,NAH,NTA
zw2wh6,AITA for telling my daughter that an old friend of her is now a prostitute?,YTA,YTA
ziq7ba,AITA for telling my mom that my stepdad won’t be considered grandpa to my kids,YTA,YTA
zujlj2,AITA for calling out a couple buying a huge amount of tylenol and other flu medicine?,YTA,NTA
zzru8t,AITA for taking my sister-in-law's maiden name?,YTA,YTA
100uscx,"AITA for naming the cat who I rescued from the middle of the road ""Speed Bump"" and upsetting my stepdaughter?",YTA,NTA
1032ji6,AITA for extending a vacation when my husband can't?,ESH,YTA
z7xtan,AITA for calling every morning?,YTA,NTA
zl0iyc,AITA for telling my brother he lives in a fantasy world?,YTA,NTA
106pwi8,AITA for causing my stepsister to lose her biggest client after I told my friend she was overcharging him on purpose?,YTA,YTA
10e8e58,AITA for telling my sister I have no sympathy for her and refusing to help her with any childcare?,YTA,NTA
yy7qrt,AITA for kicking my sister out of my apartment because she disclosed private information?,YTA,NTA
108pvk3,AITA for letting my dog go in spaces kids play?,YTA,NTA
10gfl9z,AITA for telling my husband he isn’t providing for our family?,YTA,YTA
10133zv,WIBTA for firing my babysitter for taking my son to swim classes without our permission,YTA,YTA
zx9zry,AITA for giving my son an ultimatum on College $$?,YTA,YTA
100h404,AITAH for getting annoyed with my wife trying to pass on her dumb superstitions to my daughter?,YTA,NTA
109eobx,AITA for buying my daughter her own Nintendo Switch after her older step siblings refused to let her play?,YTA,NTA
znl39u,AITA for saying I won’t come to Christmas at my in-laws if I can’t wear a hat?,YTA,NTA
108gr45,AITA for not asking my girlfriends father for permission to marry her?,YTA,YTA
10a3ddt,AITA for keeping my 3 dogs while my 10 month old is moderately allergic to pet dander?,YTA,YTA
zgcktk,AITA for telling my father that he needs to give me the rest of the money or I won’t be back for Christmas?,YTA,NTA
107rl2z,AITA for using the bathroom frequently on the flight?,YTA,YTA
z6dbcv,AITA for making noises while my brother watched football?,YTA,YTA
zpvzwo,AITA for giving my stepdaughter a snickers bar?,ESH,NTA
1066i5p,AITA for walking away from my wife and kids at Costco?,YTA,NTA
109shdg,AITA for not asking my sons to leave because of their brother?,YTA,YTA
10hfyww,AITA for eating all four pints of Ben and Jerry's ice cream?,YTA,NTA
zhy0nw,AITA dipping out on my friend's bachelorette weekend because I was fed up with another bridesmaid?,YTA,NTA
zubqnl,AITA for refusing to take a turn hosting our friend Christmas celebration?,YTA,NTA
1000hem,AITA for expecting my boyfriend to have a tattoo dedicated to an ex-girlfriend removed?,YTA,YTA
zl3h2s,AITA for telling my step-son that “thems the breaks” my daughter can go to college but he can’t?,YTA,YTA
100fwra,"AITA?Wife and her Mom speak French, also English just my wife’s mom isn’t perfect English, I do not speak French am I wrong to get mad when the speak French while I’m sitting there ? Basically excluding me.",ESH,YTA
z6m8ka,AITA for making my wife and MIL feel worse about themselves?,YTA,NTA
z982x4,AITA for not wanting to pay for half the rent?,ESH,NTA
zkr5al,AITA for telling my parents I will only talk to them with a therapist present and with a check for my education.,YTA,NTA
zzdbaa,AITA for getting angry at my pregnant wife after what she said to my little sister?,YTA,NTA
zwi1vg,AITA. Mom died. Dad got a new gf. Sis is pissed. I side with dad.,ESH,NTA
10dpvir,AITA for rejecting a dog adoption application due to a woman's size?,YTA,NTA
10ew7q0,AITA for not wanting to support changes to my bf's custody agreement?,YTA,NTA
zxhy5n,AITA for firing the babysitter after she let her mom into the house?,YTA,YTA
zp84h4,AITA for saying MIL can't have her grandkids over if her husband is home?,YTA,NTA
zqewpq,AITA for booking my wedding on my bridesmaids 30th birthday,YTA,YTA
10e60xr,AITA for not considering my stepdaughter my daughter anymore?,YTA,NTA
103yyqg,AITA for not thanking my husband every time he’s with our two children by himself?,YTA,NTA
1066rwi,AITA for not wanting my daughter to call her dads wife mom?,YTA,NTA
108i07u,AITA for letting my sister stay in our suite after my husband called our son a “little cockblock”?,YTA,NTA
zartvn,AITA for going into my ex’s room to get something to wear?,YTA,YTA
1017wtu,"AITA for fighting with my sister because she makes annoying, random and loud noises because she is ""neurodivergent""?",YTA,NTA
z1wzen,AITA for telling my partner his holiday (thanksgiving) is not important to me and not celebrating?,YTA,NTA
zm6prw,AITA For Trying to Stop My Job From Having a Dog Friendly Office,YTA,NTA
zzi5yq,AITA for expecting my friend to pay me for something they didn’t ask me to buy?,YTA,NTA
100z2hz,AITA - Wife Wants Double Standard?,YTA,YTA
zxmoh6,AITA for not giving MIL her choice of my clothes when hers got wet on Christmas and causing a bunch of family drama?,YTA,YTA
zh7hya,AITA for pushing my husband to insist we host Christmas again over his sister?,ESH,YTA
100u22v,AITA for refusing to put my wife’s name on my house?,YTA,YTA
105nkmj,AITA for going behind my partners back and telling his mother she needs to back off?,YTA,YTA
10ayfk3,AITA for getting embarrassed about workplace not granting me entry over my bra?,YTA,YTA
10gdb0q,AITA for not saving any food for my daughter's girlfriend when she was late for dinner?,YTA,YTA
zyc9jh,AITA For giving an honest eulogy at my father's funeral,YTA,NTA
